# #Freq. (Hz.), dB Mag., Phase (deg.)
1.545927736419477048e-04,1.038351637983655280e+02,-1.804921202480228146e+02
1.571072389247450316e-04,1.035548723899000834e+02,-1.805001241899880426e+02
1.596626022101426778e-04,1.032745806165185485e+02,-1.805082582950713288e+02
1.622595287078087002e-04,1.029942884662556111e+02,-1.805165246793106917e+02
1.648986944471065013e-04,1.027139959267536398e+02,-1.805249254931083271e+02
1.675807864530766986e-04,1.024337029852499086e+02,-1.805334629217869065e+02
1.703065029252844313e-04,1.021534096285632529e+02,-1.805421391861546283e+02
1.730765534195725735e-04,1.018731158430804697e+02,-1.805509565430797920e+02
1.758916590327732731e-04,1.015928216147420642e+02,-1.805599172860739259e+02
1.787525525904235457e-04,1.013125269290275554e+02,-1.805690237458848060e+02
1.816599788375326786e-04,1.010322317709405979e+02,-1.805782782910986271e+02
1.846146946324547647e-04,1.007519361249931649e+02,-1.805876833287519787e+02
1.876174691439121437e-04,1.004716399751895324e+02,-1.805972413049534282e+02
1.906690840512252085e-04,1.001913433050096955e+02,-1.806069547055151929e+02
1.937703337477988843e-04,9.991104609739207376e+01,-1.806168260565949311e+02
1.969220255479171443e-04,9.963074833471583247e+01,-1.806268579253475082e+02
2.001249798969037010e-04,9.935044999878256533e+01,-1.806370529205873652e+02
2.033800305846982068e-04,9.907015107079735117e+01,-1.806474136934614592e+02
2.066880249629082160e-04,9.878985153134925667e+01,-1.806579429381326918e+02
2.100498241653915262e-04,9.850955136039105753e+01,-1.806686433924745359e+02
2.134663033324245458e-04,9.822925053721851896e+01,-1.806795178387764622e+02
2.169383518385184322e-04,9.794894904044879524e+01,-1.806905691044604794e+02
2.204668735239409788e-04,9.766864684799816132e+01,-1.807018000628094967e+02
2.240527869300018224e-04,9.738834393705923276e+01,-1.807132136337065731e+02
2.276970255381680010e-04,9.710804028407699207e+01,-1.807248127843865291e+02
2.314005380130654006e-04,9.682773586472457339e+01,-1.807366005301990981e+02
2.351642884494348565e-04,9.654743065387783929e+01,-1.807485799353840719e+02
2.389892566231050343e-04,9.626712462558926120e+01,-1.807607541138589511e+02
2.428764382460450548e-04,9.598681775306101827e+01,-1.807731262300189599e+02
2.468268452255692339e-04,9.570651000861708724e+01,-1.807856994995494802e+02
2.508415059277541376e-04,9.542620136367459338e+01,-1.807984771902515320e+02
2.549214654451423018e-04,9.514589178871401032e+01,-1.808114626228800716e+02
2.590677858688008933e-04,9.486558125324850721e+01,-1.808246591719955063e+02
2.632815465648020189e-04,9.458526972579237224e+01,-1.808380702668286517e+02
2.675638444552045064e-04,9.430495717382818555e+01,-1.808516993921592473e+02
2.719157943036019107e-04,9.402464356377309684e+01,-1.808655500892079999e+02
2.763385290053169780e-04,9.374432886094403727e+01,-1.808796259565428102e+02
2.808331998823172674e-04,9.346401302952151013e+01,-1.808939306509992377e+02
2.854009769829237591e-04,9.318369603251262845e+01,-1.809084678886149504e+02
2.900430493863991868e-04,9.290337783171251829e+01,-1.809232414455791513e+02
2.947606255124858598e-04,9.262305838766478416e+01,-1.809382551591964443e+02
2.995549334359813402e-04,9.234273765962049652e+01,-1.809535129288657629e+02
3.044272212064302527e-04,9.206241560549587177e+01,-1.809690187170746185e+02
3.093787571730136510e-04,9.178209218182871609e+01,-1.809847765504085544e+02
3.144108303147264728e-04,9.150176734373316378e+01,-1.810007905205763450e+02
3.195247505759213607e-04,9.122144104485322202e+01,-1.810170647854506285e+02
3.247218492073128513e-04,9.094111323731470975e+01,-1.810336035701252797e+02
3.300034791125285049e-04,9.066078387167547703e+01,-1.810504111679883295e+02
3.353710152002928996e-04,9.038045289687420336e+01,-1.810674919418115394e+02
3.408258547423452110e-04,9.010012026017744802e+01,-1.810848503248572001e+02
3.463694177371734288e-04,8.981978590712495247e+01,-1.811024908220005614e+02
3.520031472796678832e-04,8.953944978147325173e+01,-1.811204180108709068e+02
3.577285099367873231e-04,8.925911182513718245e+01,-1.811386365430089143e+02
3.635469961293317630e-04,8.897877197812996997e+01,-1.811571511450417518e+02
3.694601205199302477e-04,8.869843017850078581e+01,-1.811759666198764194e+02
3.754694224073336860e-04,8.841808636227078466e+01,-1.811950878479104006e+02
3.815764661271248614e-04,8.813774046336669699e+01,-1.812145197882612990e+02
3.877828414589457430e-04,8.785739241355243223e+01,-1.812342674800141822e+02
